language	total stems	Nouns	Proper Nouns	Verbs	Adjectives	Other
tat	58961	26561	25071	2153	2648	2528
sah	37673	12423	2135	11686	5785	5644
kaz	36767	15110	9430	4564	5496	2167
tur	22299	7995	8709	1941	2352	1302
kir	14769	4774	6284	1232	1160	1319
crh	13352	6218	4040	1105	1485	504
tyv	11878	4107	4145	1365	1597	664
