language	total stems	Nouns	Proper Nouns	Verbs	Adjectives	Other
aze	11232	4850	3364	720	714	1584
tki	4300	1482	663	518	813	824
tuk	3057	1875	123	140	636	283
nog	1432	640	250	166	151	225
kjh	763	544	120	10	19	70
alt	312	150	22	42	15	83
ota	79	75	0	0	0	4
